ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
626,Bioprospecting neglected botanicals as phyto-fertilizers for underutilized food crops,Akindele A.M.,Journal of Agricultural Sciences (Belgrade),10.2298/JAS1904425A,2019,N/R,"Millet, sorghum and sesame",
627,Genetic Diversity of Bangladeshi Jackfruit (Artocarpus heterophyllus) over Time and Across Seedling Sources,Witherup C.; Zuberi M.I.; Hossain S.; Zerega N.J.C.,Economic Botany,10.1007/s12231-019-09452-5,2019,N/R,Jackfruit,Artocarpus heterophyllus
628,Effect of boiling and fermentation on nutrient profile of breadnut (Artocarpus camansi) seed flours,Amadi J.A.C.; David-Chukwu N.P.; Asinobi C.O.,Nigerian Journal of Nutritional Sciences,,2019,N/R,Breadnut,Artocarpus camansi
629,Variability and Intra-Specific Classification of Lima Bean (Phaseolus lunatus L.) from Timor Island based on Morphological Characters,Bria E.J.; Suharyanto E.; Purnomo,Journal of Tropical Biodiversity and Biotechnology,10.22146/jtbb.42547,2019,N/R,Lima bean,Phaseolus lunatus L.
630,VigSatDB: Genome-wide microsatellite DNA marker database of three species of Vigna for germplasm characterization and improvement,Jasrotia R.S.; Yadav P.K.; Iquebal M.A.; Bhatt S.B.; Arora V.; Angadi U.B.; Tomar R.S.; Jaiswal S.; Rai A.; Kumar D.,Database,10.1093/database/baz055,2019,N/R,"Mung bean, Adzuki bean, Cowpea","Vigna radiata, Vigna angularis, Vigna unguiculata"
631,Nutritional and antioxidant potential of a desert underutilized legume - tepary bean (Phaseolus acutifolius). Optimization of germination bioprocess,Salas-López F.; Gutiérrez-Dorado R.; Milán-Carrillo J.; Cuevas-Rodríguez E.O.; Canizalez-Roman V.A.; León-Sicairos C.D.R.; Reyes-Moreno C.,Food Science and Technology (Brazil),10.1590/fst.25316,2018,N/R,Tepary bean,Phaseolus acutifolius
632,Genetic diversity of zombi pea (Vigna vexillata) assessed by microsatellite markers,Somta P.; Dachapak S.; Yimram T.; Srinives P.; Poonchaivilaisak S.,Acta Horticulturae,10.17660/ActaHortic.2019.1241.21,2019,N/R,Zombi pea,Vigna vexillata
633,"Knowledge, attitude and practices (KAP) analysis of underutilized indigenous vegetables (UIVs) technologies among the Southwest Nigerian young farmers",Olarewaju B.E.; Ayinde J.O.; Torimiro D.O.; Alao O.T.; Oyedele D.J.; Adebooye O.C.,Acta Horticulturae,10.17660/ActaHortic.2019.1238.17,2019,N/R,"Ugu/fluted pumpkin/Apiroko, Igbagba,Amaranth","Telfairia occidentalis, Solarnum macrocarpon Garden egg, Amaranthus cruentus"
634,Influence of seed pre-treatments on seed germination and early seedling developments of jujube (Ziziphus jujuba Mill.),Gozlekci S.; Adak N.; Tozlu I.,Acta Horticulturae,10.17660/ActaHortic.2019.1242.45,2019,N/R,Chinese jujube,Ziziphus jujuba Mill.
635,Development and interaction between plant architecture and yield-related traits in winged bean (Psophocarpus tetragonolobus (L.) DC.),Tanzi A.S.; Ho W.K.; Massawe F.; Mayes S.,Euphytica,10.1007/s10681-019-2359-8,2019,N/R,Winged bean,Psophocarpus tetragonolobus (L.) DC.
636,Evaluation of genetic variation in Perilla for agro-morphological and quality traits,Ansari M.A.; Pandey A.; Kumar S.; Kumar A.; Sangeeta M.; Bungbungcha Meitei C.H.; Sharma S.K.; Roy S.S.; Anup D.A.S.; Mishra D.; Singh I.M.; Prakash N.,Indian Journal of Agricultural Sciences,,2019,N/R,Perilla,
637,"Enhancing food security through seed banking and use of wild plants: Case studies from the royal botanic gardens, kew",Ulian T.; Pritchard H.W.; Cockel C.P.; Mattana E.,Encyclopedia of Food Security and Sustainability,10.1016/B978-0-08-100596-5.22019-2,2018,N/R,,
638,Weed management in sorghum [Sorghum bicolor (L.) Moench] using crop competition: A review,Peerzada A.M.; Ali H.H.; Chauhan B.S.,Crop Protection,10.1016/j.cropro.2016.04.019,2017,N/R,,Sorghum bicolor
639,"Cryobiotechnology of tropical seeds - scale, scope and hope",Pritchard H.W.; Nadarajan J.; Ballesteros D.; Thammasiri K.; Prasongsom S.; Malik S.K.; Chaudhury R.; Kim H.-H.; Lin L.; Li W.-Q.; Yang X.-Y.; Popova E.,Acta Horticulturae,10.17660/ActaHortic.2017.1167.6,2017,N/R,,
640,Physicochemical and biochemical characteristics of the underutilized Elateriospermum tapos,Husin N.; Hadi Tan N.A.; Idayu Muhamad I.; Mohd Nawi N.,Jurnal Teknologi (Sciences and Engineering),10.11113/jt.v64.2045,2013,N/R,Perah,Elateriospermum tapos
641,Effect of soaking pre-treatments on nutritional composition and functional properties of Bambara groundnut (Vigna Subterranea) flour,Adebowale A.A.; Awolala F.M.; Fetuga G.O.; Sanni S.A.; Adegunwa M.O.,Acta Horticulturae,10.17660/ActaHortic.2013.979.12,2013,N/R,Bambara groundnut,Vigna subterranea
642,Isotopic fractionation of Cu in plants,Weinstein C.; Moynier F.; Wang K.; Paniello R.; Foriel J.; Catalano J.; Pichat S.,Chemical Geology,10.1016/j.chemgeo.2011.05.010,2011,N/R,"Lentil, Virginia wild rye  and hairy-leaved sedge","Lens culinaris,  Elymus virginicus, Carex hirsutella"
643,Seven underutilized species of the Fabaceae family with high potential for industrial application as alternative sources of oil and lipophilic bioactive compounds,Grygier A.; Chakradhari S.; Ratusz K.; Rudzi?ska M.; Patel K.S.; Lazdi?a D.; Górna? P.,Industrial Crops and Products,10.1016/j.indcrop.2022.115251,2022,Oil,,"Bauhinia purpurea, Phanera vahlii, Butea monosperma, Caesalpinia crista, Gliricidia sepium, Mimosa pudica, Millettia pinnata"
644,Extraction and characterization of oil from seeds of the medici-nal plant Withania coagulans (Stocks) Dunal (Doda paneer),Raghav P.; Choudhary P.; Singh A.; Sharma R.; Sharma N.,Plant Science Today,10.14719/pst.1649,2022,Oil,Doda panner/ Indi-an Rennet,Withania coagulans
645,Convective drying of Moringa oleifera seeds: kinetics modelling and effects on oil yield from different extraction techniques,de Almeida F.N.C.; Johann G.; Siqueira N.W.; Souza G.K.; Pereira N.C.,Biomass Conversion and Biorefinery,10.1007/s13399-020-01198-8,2022,Oil,Moringa,Moringa oleifera L
646,Quality characteristics and volatile compounds of oil extracted from njangsa seed,Arrey I.T.; Wyatt V.T.; Nguyen A.; Jones K.; Asare-Okai P.N.; Tawiah N.A.; Ozbay G.; Besong S.A.; Aryee A.N.A.,"JAOCS, Journal of the American Oil Chemists' Society",10.1002/aocs.12639,2022,Oil,Njangsa,Ricinodendron heudelotti
647,TUNISIAN OPUNTIA FICUS-INDICA FRUIT PEELS: BIOCHEMICAL AND MICROBIOLOGICAL CHARACTERIZATION AND POSSIBLE APPLICATIONS,Bouazizi S.; Montevecchi G.; Masino F.; Antonelli A.; Hamdi M.,"Annals of the University Dunarea de Jos of Galati, Fascicle VI: Food Technology",10.35219/FOODTECHNOLOGY.2022.1.06,2022,Oil,Prickly pear,OPUNTIA FICUS-INDICA
648,Mainstreaming of Underutilized Oilseed Safflower Crop Through Biotechnological Approaches for Improving Economic and Environmental Sustainability,Gupta A.,Biotechnological Innovations for Environmental Bioremediation,10.1007/978-981-16-9001-3_16,2022,Oil,Oilseed safflower,Carthamus tinctorius L.
649,Novel polyurethane viscoelastic foam modified with discarded luffa seed oil in accordance with cleaner production,Zhang J.; Wu S.; Zhang K.; Li C.; Ling G.; Ji C.; Liu D.; Chen M.; Zha Z.; Guo Y.; Chen Y.,Journal of Cleaner Production,10.1016/j.jclepro.2022.130795,2022,Oil,Luffa,
650,Gas Chromatographic Analysis of Bioactive Compounds in the Seed Oil of Pentaclethra macrophylla (African Oil Bean Tree),Oyedeji A.O.; Azeez L.A.; Odeyemi B.A.,Natural Resources for Human Health,10.53365/nrfhh/143048,2022,Oil,African oil bean,Pentaclethra macrophylla
651,Comparison of chemical characterization and oxidative stability of Lycium barbarum seed oils: A comprehensive study based on processing methods,Zhang Y.; Li X.; Xu Y.; Wang M.; Wang F.,Journal of Food Science,10.1111/1750-3841.16280,2022,Oil,,Lycium barbarum
652,Luffa Seed Oil Extraction: Response Surface and Neuro-Fuzzy Modelling Performance Evaluation and Optimization,Nwosu-Obieogu K.; Dzarma G.W.; Ugwuodo C.B.; Chiemenem L.I.; Akatobi K.N.,Process Integration and Optimization for Sustainability,10.1007/s41660-021-00210-6,2022,Oil,Luffa,Luffa cylindrica
653,"Chemical Characterization, Preparation of Biosurfactant and Biochemical Evaluation of Seed Oil of Luffa aegyptiaca",Zubair M.F.; Ibrahim S.O.; Atolani O.; Hamid A.A.; Ibukun O.J.; Abdulrahim H.A.,Chemist,,2022,Oil,Luffa,Luffa aegyptiaca
654,A study on natural luffa seed oil as a potential source of polymers and bioactive compounds,Zhang J.; Wu S.; Xu R.; Wang C.; Li C.; Hao J.; Du X.; Yang S.; Guo Y.; Chen Y.,Industrial Crops and Products,10.1016/j.indcrop.2021.113895,2021,Oil,Luffa,
655,A chemometrics approach comparing characteristics and free radical scavenging capacity of flax (Linum usitatissimum L.) oils obtained from seeds and cakes with different extraction methods,Zhang Y.; Zhou Y.; Song Z.; Jin J.; Tang J.; Wang X.; Huang J.; Jin Q.,Journal of the Science of Food and Agriculture,10.1002/jsfa.11184,2021,Oil,Flax,Linum usitatissimum L.
656,The changes of chemical composition of microencapsulated roselle (Hibiscus sabdariffa L.) seed oil by co-extrusion during accelerated storage,Goh K.M.; Low S.S.; Nyam K.L.,International Journal of Food Science and Technology,10.1111/ijfs.15363,2021,Oil,Roselle,Hibiscus sabdariffa L.
657,"Fatty acid profile, tocopherol content of seed oil, and nutritional analysis of seed cake of wood apple (Limonia acidissima l.), an underutilized fruit-yielding tree species",Lamani S.; Anu-Appaiah K.A.; Murthy H.N.; Dewir Y.H.; Rihan H.Z.,Horticulturae,10.3390/horticulturae7090275,2021,Oil,Wood apple,Limonia acidissima L.
658,Garcinia andamanica King (Clusiaceae): an important horticultural genetic resource from Indian islands,Bohra P.; Waman A.A.; Giri N.A.,Genetic Resources and Crop Evolution,10.1007/s10722-021-01136-1,2021,Oil,,Garcinia andamanica King
659,The chemical composition of oils and cakes of ochna serrulata (Ochnaceae) and other underutilized traditional oil trees from western zambia,Frankova A.; Manourova A.; Kotikova Z.; Vejvodova K.; Drabek O.; Riljakova B.; Famera O.; Ngula M.; Ndiyoi M.; Polesny Z.; Verner V.; Tauchen J.,Molecules,10.3390/molecules26175210,2021,Oil,,ochna serrulata
660,Microencapsulation of pomegranate seed oil using a succinylated taro starch: Characterization and bioaccessibility study,Cortez-Trejo M.C.; Wall-Medrano A.; Gaytán-Martínez M.; Mendoza S.,Food Bioscience,10.1016/j.fbio.2021.100929,2021,Oil,Pomegranate ,
661,Demineralization of high ash coal fines of Indian origin using Mahua oil,Chakladar S.; Patar P.K.; Vishwakarma D.; Mohanty A.; Mallick S.; Chakravarty S.,Cleaner Engineering and Technology,10.1016/j.clet.2021.100222,2021,Oil,Mahua,
662,Pressurized mixture of CO2 and propane for enhanced extraction of non-edible vegetable oil,"de Almeida-Couto J.M.F.; Abrantes K.K.B.; Barão C.E.; Wisniewski A., Jr.; da Silva C.; Cabral V.F.; Cardozo-Filho L.",Journal of Supercritical Fluids,10.1016/j.supflu.2021.105171,2021,Oil,Monguba and green coffee beans,
663,Concentrated Pickering emulsions stabilised by hemp globulin-caseinate nanoparticles: Tuning the rheological properties by adjusting the hemp globulin:caseinate ratio,Chuang C.-C.; Ye A.; Anema S.G.; Loveday S.M.,Food and Function,10.1039/d0fo01745k,2020,Oil,Hemp,Cannabis sativa L.
664,Sacha inchi (Plukenetia volubilis L.) is an underutilized crop with a great potential,Kodahl N.; Sørensen M.,Agronomy,10.3390/agronomy11061066,2021,Oil,Sacha inchi,Plukenetia volubilis L.
665,Exploring the Industrial Potential of the Nigerian Pumpkins (Cucurbita pepo L.),Oloyede F.M.,Food Security and Safety: African Perspectives,10.1007/978-3-030-50672-8_9,2021,Oil,Nigerian pumpkins ,Cucurbita pepo L.
666,Characterization of traditional extraction processes of Carapa procera seed oil in Burkina Faso,Tiétiambou F.R.S.; Bassolé I.H.N.; Lykke A.M.; Ouédraogo A.,Fruits,10.17660/TH2021/76.2.5,2021,Oil,,Carapa procera
667,Seed nutrients and bioactive compounds of underutilised oil crop Carthamus tinctorius L.,Kiprovski B.; Jacimovic S.; Grahovac N.; Zeremski T.; Jeromela A.M.,Ratarstvo i Povrtarstvo,10.5937/RATPOV58-3150,2021,Oil,Safflower,Carthamus tinctorius L.
668,Genetic improvement of a neglected and underutilised oilseed crop: sesame (Sesamum indicum L.) through mutation breeding,Jayaramachandran M.; Saravanan S.; Motilal A.; Prabhu P.C.; Hepziba S.J.; Swain H.; Boopathi N.M.,Nucleus (India),10.1007/s13237-020-00329-w,2020,Oil,Sesame,Sesamum indicum L.
669,"Nutritional Composition of Seed Kernel and Oil of Wild Edible Plant Species from Western Himalaya, India",Maikhuri R.K.; Parshwan D.S.; Kewlani P.; Negi V.S.; Rawat S.; Rawat L.S.,International Journal of Fruit Science,10.1080/15538362.2021.1907009,2021,Oil,,"Prinsepia utilis Royle, Prunus persica L. and Neolitsea pallens D.Don."
670,"Chemical characterization, antioxidant, cytotoxicity, Anti-Toxoplasma gondii and antimicrobial potentials of the Citrus sinensis seed oil for sustainable cosmeceutical production",Atolani O.; Adamu N.; Oguntoye O.S.; Zubair M.F.; Fabiyi O.A.; Oyegoke R.A.; Adeyemi O.S.; Areh E.T.; Tarigha D.E.; Kambizi L.; Olatunji G.A.,Heliyon,10.1016/j.heliyon.2020.e03399,2020,Oil,,Citrus sinensis
671,"Local preferences for three indigenous oil-seed plants and attitudes towards their conservation in the Kénédougou province of Burkina Faso, West-Africa",Tiétiambou F.R.S.; Salako K.V.; Tohoun J.R.; Ouédraogo A.,Journal of Ethnobiology and Ethnomedicine,10.1186/s13002-020-00393-1,2020,Oil,,"Carapa procera, Lophira lanceolata, and Pentadesma butyracea"
672,How do sowing time and plant density affect the pigments safflomins and carthamin in florets of safflower?,Patanè C.; Cosentino S.L.; Calcagno S.; Pulvirenti L.; Siracusa L.,Industrial Crops and Products,10.1016/j.indcrop.2020.112313,2020,Oil,Safflower,Carthamus tinctorius L.
673,Unique oleochemical data source: Deployed for the optimization of fatty acids of seed oils for production of liquid fuel,Katagi K.S.; Kadam N.S.; Mane S.G.; Akki M.,Chemical Data Collections,10.1016/j.cdc.2019.100324,2020,Oil,,"Caryocar villosum, Dacryodes rostrata, Erisma calcaratum and Irvingia gabonensis "
674,Brassica carinata genotypes demonstrate potential as a winter biofuel crop in South East United States,Kumar S.; Seepaul R.; Mulvaney M.J.; Colvin B.; George S.; Marois J.J.; Bennett R.; Leon R.; Wright D.L.; Small I.M.,Industrial Crops and Products,10.1016/j.indcrop.2020.112353,2020,Oil,,Brassica carinata
675,Analysis of bioactive compounds from Raphia taedigera using gas chromatography–mass spectrometry,Awonyemi I.O.; Abegunde M.S.; Olabiran T.E.,Eurasian Chemical Communications,10.22034/ecc.2020.107898,2020,Oil,,Raphia taedigera
676,"First report on fatty acids composition, total phenolics and antioxidant activity in seeds oil of four fig cultivars (Ficus carica L.) grown in Morocco; [Premier rapport sur la composition en acides gras, composés phénoliques totaux et l’activité antioxydante de l’huile de graines de quatre cultivars de figues (Ficus carica L.) cultivés au Maroc.]",Hssaini L.; Hanine H.; Charafi J.; Razouk R.; Elantari A.; Ennahli S.; Hernández F.; Ouaabou R.,"OCL - Oilseeds and fats, Crops and Lipids",10.1051/ocl/2020003,2020,Oil,Fig ,Ficus carica L.
677,"Chemical composition, antioxidant, anti-lipooxygenase, antimicrobial, anti-parasite and cytotoxic activities of P olyalthia longifolia seed oil",Atolani O.; Areh E.T.; Oguntoye O.S.; Zubair M.F.; Fabiyi O.A.; Oyegoke R.A.; Tarigha D.E.; Adamu N.; Adeyemi O.S.; Kambizi L.; Olatunji G.A.,Medicinal Chemistry Research,10.1007/s00044-019-02301-z,2019,Oil,,Polyalthia longifolia Thw. 
678,Performance characteristics of a single cylinder diesel engine fueled with blends of sal seed oil and diesel,Kallolimath P.S.; Veeranna D.K.; Shiraguppi P.; Hadapad S.; Deshpande G.B.,International Journal of Advanced Science and Technology,,2019,Oil,Sal,Shorea Robusta
679,"Analysis of the tocopherols, tocotrienols, phospholipids and phytosterol composition of tetracarpidium conophorum seed oil: Implications for industrial and health applications",Mercy O.A.; Temitope A.E.,Research Journal of Chemistry and Environment,,2019,Oil,African walnut,tetracarpidium conophorum
680,Synthesis of fatty phenylthiosemicarbazide from underutilized Sesamum indicum seed oil: a promising corrosion inhibitor of carbon steel in developing country,Adewuyi A.; Oluwaseyifunmi A.; Kaki S.S.; Oderinde R.A.,SN Applied Sciences,10.1007/s42452-019-0662-6,2019,Oil,Sesame,Sesamum indicum
681,"Chemical composition, anti-toxoplasma, cytotoxicity, antioxidant, and anti-inflammatory potentials of cola gigantea seed oil",Atolani O.; Oguntoye H.; Areh E.T.; Adeyemi O.S.; Kambizi L.,Pharmaceutical Biology,10.1080/13880209.2019.1577468,2019,Oil,,Cola gigantea A. Chev. 
682,Microwave-assisted extraction and physicochemical evaluation of oil from Hevea brasiliensis seeds,Creencia E.C.; Nillama J.A.P.; Librando I.L.,Resources,10.3390/resources7020028,2018,Oil,Rubber,Hevea brasiliensis
683,Limited seed and seed yield response of calendula to applied nitrogen does not justify risk of environmental damage from high urea application rates,Johnson J.M.F.; Gesch R.W.; Barbour N.W.,Agriculture (Switzerland),10.3390/agriculture8030040,2018,Oil,Calendula,Calendula officinalis L.
684,Seed purpose watermelon - An underutilized potential oilseed crop for livelihood security in Indian arid zone,Mahla H.R.; Rathore S.S.; Venkatesan K.; Mathur B.K.,Acta Horticulturae,10.17660/ActaHortic.2019.1241.2,2019,Oil,Watermelon,
685,Synthesis of hydroxylated fatty amide from underutilized seed oil of Khaya senegalensis: a potential green inhibitor of corrosion in aluminum,Adewuyi A.; Oderinde R.A.,Journal of Analytical Science and Technology,10.1186/s40543-018-0158-9,2018,Oil,,Khaya senegalensis
686,Conversion of non-edible Argemone Mexicana seed oil into biodiesel through the transesterification process,Anjum S.S.; Prakash O.; Pal A.,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",10.1080/15567036.2018.1563244,2019,Oil,,Argemone Mexicana
687,Using a choice experiment approach to assess production tradeoffs for developing the croton value chain in Kenya,Jacobson M.; Shr Y.-H.; Dalemans F.; Magaju C.; Ciannella R.,Forest Policy and Economics,10.1016/j.forpol.2017.09.015,2018,Oil,Croton,Croton megalocarpus
688,"Algerian Moringa oleifera whole seeds and kernels oils: Characterization, oxidative stability, and antioxidant capacity",Boukandoul S.; Casal S.; Cruz R.; Pinho C.; Zaidi F.,European Journal of Lipid Science and Technology,10.1002/ejlt.201600410,2017,Oil,Algerian moringa,Moringa oleifera
689,Sucrose fatty esters from underutilized seed oil of Terminalia catappa as potential steel corrosion inhibitor in acidic medium,Adewuyi A.; Bello O.R.; Oderinde R.A.,Journal of Electrochemical Science and Engineering,10.5599/jese.316,2016,Oil,,Terminalia catappa
690,Yellow or White Mustard (Sinapis alba L.) oils,Ekanayake A.; Strife R.J.; Zehentbauer G.N.; David J.R.D.,"Essential Oils in Food Preservation, Flavor and Safety",10.1016/B978-0-12-416641-7.00098-5,2016,Oil,Yellow or White Mustard,Sinapis alba L.
691,"Spectroscopic examinations, antimicrobial and anti-corrosive evaluations of polyurethanes synthesized from thevetia peruviana seed oil",Siyanbola T.O.; Akinsola A.F.; Adekoya J.A.; Ogunniran K.O.; Jokotagba O.A.; Edobor-Osoh A.; Akintayo C.O.; Olaofe O.; Akintayo E.T.,Oriental Journal of Chemistry,10.13005/ojc/320139,2016,Oil,Yellow oleanda,Thevetia peruviana
692,Chamaerops humilis L. var. argentea André Date Palm Seed Oil: A Potential Dietetic Plant Product,Nehdi I.A.; Mokbli S.; Sbihi H.; Tan C.P.; Al-Resayes S.I.,Journal of Food Science,10.1111/1750-3841.12420,2014,Oil,Date palm seed,Chamaerops humilis L. var. 
693,"Genetic diversity in Carthamus tinctorius (Asteraceae; safflower), An underutilized oilseed crop",Pearl S.A.; Burke J.M.,American Journal of Botany,10.3732/ajb.1400079,2014,Oil,Safflowe,Carthamus tinctorius 
694,Cold pressing and supercritical CO2 extraction of hemp (Cannabis sativa) seed oil,Aladi? K.; Joki? S.; Moslavac T.; Tomas S.; Vidovi? S.; Vladi? J.; Šubari? D.,Chemical and Biochemical Engineering Quarterly,10.15255/CABEQ.2013.1895,2014,Oil,Hemp,Cannabis sativa L
695,Allanblackia species: A model for domestication of high potential tree crops in Africa,Ofori D.A.; Kehlenbeck K.; Munjuga M.; Jamnadass R.; Asaah E.K.; Kattah C.; Rutatina F.,Acta Horticulturae,10.17660/actahortic.2013.979.32,2013,Oil,Allanblackia,
696,"Fruits of our labour: Contribution of commercial baobab (Adansonia digitata L.) fruit harvesting to the livelihoods of marginalized people in northern Venda, South Africa",Venter S.M.; Witkowski E.T.F.,Agroforestry Systems,10.1007/s10457-012-9532-6,2013,Oil,Baobabs,Adansonia digitata
697,"Evaluation of nutrients and some anti-nutrients in lesser-known, underutilized oilseeds",Enujiugha V.N.; Ayodele-Oni O.,International Journal of Food Science and Technology,10.1046/j.1365-2621.2003.00698.x,2003,Oil,"Castor bean, conophor nut, 'egusi' melon, African oil bean and locust bean",
698,Variation in diosgenin level in seed kernels among different provenances of Balanites aegyptiaca Del (Zygophyllaceae) and its correlation with oil content,Chapagain B.; Wiesman Z.,African Journal of Biotechnology,,2005,Oil,,Balanites aegyptiaca
699,"Morphological variation in scarlet plume (Euphorbia fulgens karw ex klotzsch, euphorbiaceae), an underutilized ornamental resource of mexico with global importance",Pérez-Nicolás M.; Colinas-León T.; Alia-Tejacal I.; Peña-Ortega G.; González-Andrés F.; Beltrán-Rodríguez L.,Plants,10.3390/plants10102020,2021,Ornamental,Scarlet plume,Euphorbia fulgens karw ex klotzsch
700,"Effects of tree size and park maintenance on soil seed bank of Gleditsia triacanthos, an exotic tree in urban green areas",Csontos P.; Kalapos T.; Faradhimu T.; Laborczi A.; Hardi T.; Tamás J.,Biologia Futura,10.1007/s42977-020-00020-w,2020,Ornamental,Honey locust ,Gleditsia triacanthos
701,"Micropropagation of Ostrya virginiana (Mill.) K. Kock, an underutilized ornamental landscape tree",West T.P.; Coronado J.R.F.,Propagation of Ornamental Plants,,2016,Ornamental,American hophornbeam,Ostrya virginiana (Mill.) K. Koch
702,Effect of pin-to-plate atmospheric cold plasma on jackfruit seed flour functionality modification,K Joy J.; Kalaivendan R.G.T.; Eazhumalai G.; Kahar S.P.; Annapure U.S.,Innovative Food Science and Emerging Technologies,10.1016/j.ifset.2022.103009,2022,Other,Jackfruit,
703,Bioproducts from the pyrolysis of castor seed cake: Basic dye adsorption capacity of biochar and antifungal activity of the aqueous phase,Silva R.V.S.; Gonçalves A.D.; Vinhal J.O.; Cassella R.J.; Santos R.C.; Dal Sasso M.A.; Peixoto B.S.; Borba-Santos L.P.; Rozental S.; Azevedo D.A.; Romeiro G.A.,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.104825,2021,Other,Castor,
704,Influence of supplementing Guinea grass with differently processed African yam bean on gas production and in vitro digestibility,Sanni T.A.; Jesuyon O.M.A.; Adejoro F.A.; Baiyeri S.O.; Boluwaji O.V.; Akanmu A.M.; Hassen A.,Revista Brasileira de Zootecnia,10.37496/rbz4920200029,2020,Other,African yam bean ,
705,Improvement nutritional/antioxidant properties of underutilized legume tepary bean (Phaseolus acutifolius) by solid state fermentation; [Mejoramiento de las propiedades nutricionales y antioxidantes de la leguminosa frijol tépari (Phaseolus acutifolius) subutilizada mediante fermentación de estado sólido],Mora-Uzeta C.; Cuevas-Rodríguez E.O.; López-Cervantes J.; Milán-Carrillo J.; Gutiérrez-Dorado R.; Reyes-Moreno C.,Agrociencia,,2019,Other,Tepary bean,Phaseolus acutifolius
706,Chemical evaluation of by-products of the grape industry as potential agricultural fertilizers,Ferrari V.; Taffarel S.R.; Espinosa-Fuentes E.; Oliveira M.L.S.; Saikia B.K.; Silva L.F.O.,Journal of Cleaner Production,10.1016/j.jclepro.2018.10.032,2019,Other,Grape,
707,Insight into floral biology and ancillary characteristics of underutilized legume- bambara groundnut [vigna subterranea (l.)verdc.],Chandra K.; Nandini R.; Gobu R.; Pranesh; Kumar C.B.; Muthuraju R.,Legume Research,10.18805/LR-3811,2019,Other,Bambara groundnut ,vigna subterranea (l.)verdc.
708,Preparation and application of EDTA-functionalized underutilized Adansonia digitata seed for removal of Cu(II) from aqueous solution,Adewuyi A.; Pereira F.V.,Sustainable Environment Research,10.1016/j.serj.2017.12.002,2018,Other,Baobab,Adansonia digitata 
709,Drought avoidance adaptive traits in seed germination and seedling growth of Citrullus amarus landraces,Guzzon F.; Müller J.V.; do Nascimento Araujo M.; Cauzzi P.; Orsenigo S.; Mondoni A.; Abeli T.,South African Journal of Botany,10.1016/j.sajb.2017.09.023,2017,Other,Water melon,Citrullus lanatus
710,A policy analysis to promote conservation and use of small millet underutilized species in India,Notaro V.; Padulosi S.; Galluzzi G.; King I.O.,International Journal of Agricultural Sustainability,10.1080/14735903.2017.1334181,2017,Other,Small millets,
711,Integrating genetic maps in bambara groundnut [Vigna subterranea (L) Verdc.] and their syntenic relationships among closely related legumes,Ho W.K.; Chai H.H.; Kendabie P.; Ahmad N.S.; Jani J.; Massawe F.; Kilian A.; Mayes S.,BMC Genomics,10.1186/s12864-016-3393-8,2017,Other,Bambara groundnut,Vigna subterranea (L) Verdc
712,Indigenous crops: Sowing the seeds of knowledge on underutilised crops,Mabhaudhi T.; Modi A.T.,Water Wheel,,2016,Other,Bambara groundnut,
713,Effectiveness of sal deoiled seed cake as an inducer for protease production from aeromonas sp. S1 for its application in kitchen wastewater treatment,Saini V.; Bhattacharya A.; Gupta A.,Applied Biochemistry and Biotechnology,10.1007/s12010-013-0323-y,2013,Other,Sal,Shorea robusta
714,Colonization of winter wheat grain with Fusarium and Alternaria species and influence on pest control management,Jevti? R.; Župunski V.; Laloševi? M.; Živanov S.T.,Journal of General Plant Pathology,10.1007/s10327-019-00844-y,2019,Pest and disease control,Winter wheat,
715,"Influence of substitution of sunflower oil by different oils on the growth, survival rate and fatty acid composition of Jamaican field cricket (Gryllus assimilis)",Star?evi? K.; Gavrilovi? A.; Gottstein Ž.; Mašek T.,Animal Feed Science and Technology,10.1016/j.anifeedsci.2017.04.007,2017,Pest and disease control,"Linseed, fish, pumpkin seed",
716,Chemical composition and insecticidal properties of the underutilized Jatropha curcas seed oil,Adebowale K.O.; Adedire C.O.,African Journal of Biotechnology,,2006,Pest and disease control,,Jatropha curcas L.
717,Loss-of-function of triacylglycerol lipases are associated with low flour rancidity in pearl millet [Pennisetum glaucum (L.) R. Br.],Aher R.R.; Reddy P.S.; Bhunia R.K.; Flyckt K.S.; Shankhapal A.R.; Ojha R.; Everard J.D.; Wayne L.L.; Ruddy B.M.; Deonovic B.; Gupta S.K.; Sharma K.K.; Bhatnagar-Mathur P.,Frontiers in Plant Science,10.3389/fpls.2022.962667,2022,,Pearl millet,Pennisetum glaucum (L.) R. Br.
718,Physico-chemical characterization of Indian olive (Elaeocarpus floribundus) grown in Terai Region of West Bengal,Ghosh A.; Dey K.; Dey A.N.; Dutta P.,Acta Horticulturae,10.17660/ActaHortic.2019.1241.25,2019,,Indian olive,Elaeocarpus floribundus
719,"Inducing genetic mutation on selected vernonia accessions using predetermined ethylmethanesulfonate dosage, temperature regime and exposure duration conditions",Hadebe S.T.; Modi A.T.; Odindo A.O.; Shimelis H.A.,South African Journal of Botany,10.1016/j.sajb.2018.09.032,2018,,Vernonia,
